book,genre,store,date,sale
"After Virtue",Philosophy,"Tønder",2005-12-03,71
"Exile's Gate","Science Fiction",Svendborg,2005-06-04,25
"The Ambushers","Spy fiction",Slagelse,2005-09-25,21
"Nebula Maker","Science Fiction",Nyborg,2005-09-12,77
"The Prophet Murders","Crime Fiction","Helsingør",2005-07-13,53
Romola,"Historical fiction",Frederiksberg,2005-05-03,35
"The Subtle Knife","Children's literature",Skagen,2005-06-05,96
Transit,"Speculative fiction","Nykøbing Falster",2005-03-03,33
"The Bishop Murder Case",Mystery,Viborg,2005-04-23,45
"Theatre of War","Speculative fiction",Slagelse,2005-09-10,45
"Ham on Rye","Autobiographical novel","Køge",2005-10-22,26
"The Rats",Mystery,Thisted,2005-02-06,36
"City of Light",Fiction,"Nørresundby",2005-02-09,59
"Cider with Rosie",Autobiography,Skive,2005-09-14,10
"The Carbon Diaries: 2015","Science Fiction","Sorø",2005-07-08,41
"The Cave Girl","Science Fiction","Nykøbing Falster",2005-12-06,64
"Bracebridge Hall",Horror,Ribe,2005-09-28,100
"Hell's Kitchen","Crime Fiction","Køge",2005-06-29,100
"O Dinheiro",Comedy,Svendborg,2005-08-31,38
"Isle of View","Children's literature",Ribe,2005-03-01,62
"The Book of Illusions",Fiction,Randers,2005-08-28,62
"Chorus Skating","Speculative fiction","Tønder",2005-06-01,28
"The Heart of the Warrior","Science Fiction",Frederiksberg,2005-01-07,80
"Kindred Spirits",Fantasy,Aabenraa,2005-12-11,8
"April Lady",Mystery,Esbjerg,2005-07-16,97
"The Bladerunner","Science Fiction","Sønderborg",2005-11-14,6
Phantom,"Science Fiction",Slagelse,2005-07-13,41
"The Sum of All Fears",Thriller,Svendborg,2005-11-21,83
"Treasure Box",Fantasy,Horsens,2005-12-14,71
"Tomoe Gozen","Speculative fiction",Kalundborg,2005-07-16,50
"Barnaby Rudge",Fiction,Odense,2005-01-27,13
"The Face on the Cutting-Room Floor","Crime Fiction",Ribe,2005-05-30,29
Stormbreaker,Thriller,Viborg,2005-06-24,77
"Transformers: Exodus – The Official History of the War for Cybertron",Fantasy,Esbjerg,2005-08-01,100
Breath,Novel,"Tønder",2005-01-23,21
"The Feminine Mystique",Non-fiction,"Tønder",2005-05-04,70
"Down There on a Visit",Novel,"Nykøbing Falster",2005-04-19,26
"Synthetic Men of Mars","Science Fiction","Nykøbing Falster",2005-03-09,36
"Conan the Liberator","Sword and sorcery",Odense,2005-10-08,86
"Le Dernier Homme","Science fantasy",Fredericia,2005-04-19,59
"The Firework-Maker's Daughter","Speculative fiction",Fredericia,2005-03-22,67
"King Kelson's Bride","Speculative fiction",Esbjerg,2005-05-05,26
Cecilia,Fiction,"Sorø",2005-11-26,88
Iracema,"Romance novel",Holstebro,2005-07-10,21
"Kushiel's Justice","Speculative fiction",Holstebro,2005-07-07,84
"Imperium: A Novel of Ancient Rome","Speculative fiction",Silkeborg,2005-06-18,42
"The Faerie Path",Fantasy,Frederiksberg,2005-08-16,93
"Wonder of the Worlds","Alternate history",Vordingborg,2005-04-13,63
"Thirteen Steps Down",Novel,"Sorø",2005-01-25,45
"Brother in the Land","Science Fiction",Holstebro,2005-05-30,98
"Songs of the Humpback Whale",Fiction,Thisted,2005-05-25,23
"The Efficiency Expert",Novel,Kolding,2005-01-26,17
"Time and the River","Historical fiction","Køge",2005-04-11,46
"The Face of Another","Speculative fiction",Nyborg,2005-11-21,30
"The Ionian Mission","Historical fiction",Frederiksberg,2005-05-23,52
"The Worthing Chronicle","Science Fiction",Kalundborg,2005-09-13,22
"Dragon Age: The Stolen Throne",Fantasy,Aalborg,2005-11-09,80
"The Color Purple","Epistolary novel",Fredericia,2005-09-09,16
"The Kingdom of this World","Magic realism","Nykøbing Falster",2005-12-14,54
"Life During Wartime","Science Fiction",Silkeborg,2005-06-01,81
"Wonderful Life: The Burgess Shale and the Nature of History",Mathematics,Kolding,2005-01-21,75
"The House of the Arrow",Mystery,Haderslev,2005-09-14,10
"Ratha and Thistle-chaser",Fantasy,Maribo,2005-04-13,53
"The Fatal Equilibrium",Mystery,Gentofte,2005-08-29,89
"David Golder",Novel,Nyborg,2005-07-26,72
"The Laws of Our Fathers","Crime Fiction",Ribe,2005-06-18,59
Getaway,Mystery,Nyborg,2005-09-16,60
"Kushiel's Mercy","Speculative fiction",Kolding,2005-02-24,7
"Question and Answer","Science Fiction",Fredericia,2005-12-03,49
"Back to the Stone Age","Science Fiction",Skagen,2005-01-18,18
"The Secret People","Science Fiction",Slagelse,2005-06-27,44
"The Cage","Speculative fiction","Nørresundby",2005-10-25,15
"Back Roads",Fiction,Skagen,2005-04-20,20
"Children of the Storm",Mystery,Ribe,2005-09-23,19
"My Education: A Book of Dreams",Novel,"Sønderborg",2005-08-08,65
"Incest: From a Journal of Love",Memoir,Haderslev,2005-05-23,87
"London Blues","Crime Fiction",Ribe,2005-09-18,17
"The Chinese Bell Murders",Mystery,"Hillerød",2005-05-22,20
"Counter-Clock World","Science Fiction",Horsens,2005-10-06,62
"High Rhulain","Speculative fiction",Randers,2005-02-19,71
"The Fire-Eaters","Speculative fiction",Aalborg,2005-11-27,46
"Hearing Secret Harmonies",Satire,Thisted,2005-11-17,28
"The Simulacra","Science Fiction",Aarhus,2005-08-02,86
"The Romantics","Literary fiction",Svendborg,2005-03-08,67
"The Neon Bible",Fiction,Holstebro,2005-08-22,31
Dermaphoria,Novel,Frederikshavn,2005-12-23,31
"The Indwelling",Novel,Haderslev,2005-03-19,92
"First Person Plural: My Life As a Multiple",Non-fiction,Vejle,2005-08-01,87
"The Veiled Society","Role-playing game",Silkeborg,2005-08-30,19
Unwiederbringlich,Novel,Haderslev,2005-03-31,29
"Bats in the Air, Bats in My Hair","Children's literature",Nakskov,2005-02-24,49
"In His Image","Science Fiction",Horsens,2005-02-21,67
"The Heaven Shop",Novel,Ribe,2005-11-30,43
"La Maravilla",Novel,"Hillerød",2005-03-20,53
"So B. It","Children's literature",Frederikshavn,2005-02-24,73
"Red Thunder","Science Fiction",Fredericia,2005-09-24,57
Siddhartha,"Speculative fiction",Aarhus,2005-05-06,29
"El Túnel",Novel,"Nykøbing Falster",2005-02-18,94
"Dying in the Sun","Science Fiction",Nakskov,2005-03-30,47
Gormenghast,"Gothic fiction","Sorø",2005-12-24,100
Shangri-La,"Science Fiction",Thisted,2005-07-10,80
"The Sentinel","Speculative fiction","Nørresundby",2005-05-06,32
"Child of the Wolves","Children's literature","Sønderborg",2005-10-29,76
"Out to Canaan",Fiction,Maribo,2005-05-07,97
Earthfall,"Science Fiction",Frederiksberg,2005-08-22,30
"The Laughing Corpse",Horror,"Tønder",2005-09-10,38
"The Fall of Doctor Onslow",Novel,"Sønderborg",2005-01-21,48
"Absolute Zero","Speculative fiction",Vordingborg,2005-07-27,19
"Confessions of an Ugly Stepsister","Speculative fiction",Odense,2005-12-26,80
Headlong,"Romantic comedy",Ribe,2005-07-28,90
"Catherine, Called Birdy","Historical fiction",Silkeborg,2005-08-31,42
Castle,"Science Fiction",Frederikshavn,2005-06-08,88
"Ashes and Diamonds",Novel,Ribe,2005-06-17,65
"A Walk on the Wild Side",Novel,Aabenraa,2005-12-04,16
"The Loveday Loyalty","Romance novel",Randers,2005-07-24,11
"Stalin's Ghost: An Arkady Renko Novel","Crime Fiction",Aalborg,2005-04-16,5
"Murder at the New York World's Fair",Mystery,"Hjørring",2005-06-22,38
"Arrow to the Sun","Picture book",Copenhagen,2005-08-17,59
"The Rotters' Club",Novel,Aalborg,2005-12-05,72
"Dragons of Spring Dawning","Children's literature",Copenhagen,2005-10-26,58
"The Subtle Knife","Children's literature","Hillerød",2005-06-03,21
"Joshua Then and Now","Autobiographical novel",Odense,2005-11-05,85
"Cold Fusion","Science Fiction","Holbæk",2005-06-11,66
"Comanche Moon",Western,Haderslev,2005-10-16,56
"Explorers on the Moon","Comic book",Aabenraa,2005-06-26,86
"Thinks ...",Fiction,Aabenraa,2005-01-21,30
"Gather Together in My Name",Autobiography,"Sønderborg",2005-09-07,70
"Little Altars Everywhere",Anthology,"Køge",2005-08-24,26
"The Slave-girl from Jerusalem","Historical fiction","Sønderborg",2005-01-31,100
"Insoumise et dévoilée",Autobiography,Thisted,2005-07-21,36
"Cop Hater","Crime Fiction",Viborg,2005-03-30,44
"Barney's Version",Novel,"Sorø",2005-09-24,87
"Breakfast in the Ruins","Science fantasy",Silkeborg,2005-06-02,52
"The Torture Garden","Speculative fiction",Kalundborg,2005-08-13,61
"Advise and Consent: A Novel of Washington Politics",Fiction,"Helsingør",2005-11-20,33
"Nobody Lives For Ever","Spy fiction",Frederiksberg,2005-03-15,97
"Enrique's Journey",Non-fiction,"Hillerød",2005-05-18,80
"Billy Bathgate",Fiction,"Sorø",2005-10-31,77
"Star Surgeon","Science Fiction",Fredericia,2005-06-13,39
"High Five","Crime Fiction",Maribo,2005-08-23,60
"The Open Society and Its Enemies",Philosophy,"Tønder",2005-08-30,90
"Newton's Wake: A Space Opera","Science Fiction",Viborg,2005-05-11,45
Mothstorm,Steampunk,Holstebro,2005-05-25,16
"The Leopard",Fiction,Holstebro,2005-01-29,69
"The Door in the Lake","Science Fiction",Nyborg,2005-05-23,38
Ascendance,Fantasy,Haderslev,2005-01-09,63
"Tribes of Redwall Otters","Speculative fiction","Hillerød",2005-06-08,25
"I Am a Barbarian","Historical novel",Aalborg,2005-06-17,31
"Mrs. Frisby and the Rats of NIMH","Science Fiction",Aabenraa,2005-09-09,24
"The Clone Republic","Science Fiction",Horsens,2005-03-28,25
"All She Was Worth","Crime Fiction","Tønder",2005-02-02,27
"The Ice People","Science Fiction",Skive,2005-04-12,55
"The Parched Sea","Speculative fiction",Silkeborg,2005-02-13,22
"Memories of Midnight",Mystery,Herning,2005-12-14,23
"Laughing Gas","Comic novel",Holstebro,2005-11-06,48
"The Clerk's Prologue and Tale","Morality play",Aalborg,2005-04-12,93
"The Winter Prince",Fantasy,Slagelse,2005-01-20,83
"Death on the Nile","Crime Fiction",Herning,2005-10-29,76
"Watch and Ward",Novel,"Hillerød",2005-01-03,54
"The Ballad of the White Horse",Poetry,"Køge",2005-01-14,90
"Foundation and Empire","Science Fiction","Helsingør",2005-07-23,89
"Debt of Honor",Thriller,"Hillerød",2005-10-30,49
Decoded,Autobiography,Gentofte,2005-12-02,39
"Let Sleeping Dogs Lie","Children's literature",Copenhagen,2005-07-05,19
"Giles Goat-Boy","Speculative fiction",Horsens,2005-10-02,42
"The Scarlet Thread",Fiction,Frederikshavn,2005-07-26,79
"Where Angels Fear to Tread",Fiction,"Sønderborg",2005-04-03,88
"The Post-American World",Non-fiction,Kalundborg,2005-07-06,70
"Rowan and the Zebak","Children's literature",Odense,2005-09-09,46
"For Love of the Game",Fiction,"Nørresundby",2005-12-02,31
"The Dark Goddess",Thriller,Haderslev,2005-08-01,39
"Tiger Moon",Fantasy,Copenhagen,2005-05-13,73
"Youngblood Hawke",Fiction,Herning,2005-04-20,11
"The Dragons of Blueland","Children's literature",Fredericia,2005-05-31,80
"The Very Bad Book","Children's literature",Skagen,2005-12-15,25
"A Spot of Bother",Fiction,Roskilde,2005-09-26,65
"The Curse of Chalion","Speculative fiction","Nykøbing Falster",2005-07-11,32
"The Castle of Otranto","Speculative fiction",Vejle,2005-07-07,47
Fearless,Fantasy,"Hillerød",2005-03-06,39
"Biting the Sun","Science Fiction",Holstebro,2005-04-19,43
"Room One","Children's literature","Hillerød",2005-03-02,32
"The Machine's Child","Science Fiction","Sorø",2005-12-01,22
"Zabibah and the King","Romance novel",Frederikshavn,2005-02-22,46
Eulalia,"Speculative fiction",Skagen,2005-04-22,76
"Beyond the Deepwoods","Speculative fiction",Nakskov,2005-10-28,99
"The Wave","Young adult literature","Helsingør",2005-05-05,34
"Somewhere in Time","Science Fiction","Køge",2005-08-13,8
"As Comadres",Comedy,"Holbæk",2005-06-19,32
"Ramona Forever","Children's literature",Aarhus,2005-09-29,60
"A Clergyman's Daughter",Novel,Aarhus,2005-08-25,81
Larklight,"Science Fiction",Vordingborg,2005-07-12,54
Wizard,"Science Fiction",Aabenraa,2005-06-25,84
"The Rise of Silas Lapham",Fiction,Viborg,2005-10-07,17
"More Sideways Arithmetic From Wayside School","Children's literature",Skive,2005-03-09,81
"Scales of the Serpent","Speculative fiction",Horsens,2005-11-26,6
"The Decay of the Angel",Fiction,Viborg,2005-03-26,19
"A Matter of Honour",Thriller,Vordingborg,2005-11-14,76
"Creatures of Light and Darkness","Science Fiction",Aalborg,2005-05-19,35
Page,"Children's literature",Frederiksberg,2005-01-01,37
Hazed,Mystery,"Køge",2005-12-09,50
"No Coffin for the Corpse",Mystery,Silkeborg,2005-06-05,14
"The Painted Veil",Fiction,Gentofte,2005-12-25,77
"The Dirdir","Science Fiction",Nyborg,2005-06-24,57
"The Tiger in the Smoke","Crime Fiction",Aalborg,2005-12-22,80
"The Last Kingdom","Historical fiction","Sønderborg",2005-08-17,40
"The Sentinel",Horror,Viborg,2005-06-03,49
"The Eight of Swords",Mystery,Vejle,2005-11-07,11
"The Return","Science Fiction",Holstebro,2005-03-11,39
"Oms en Série","Science Fiction",Viborg,2005-03-21,88
"The Swoop",Satire,Frederikshavn,2005-11-26,59
"The Hidden Assassins","Crime Fiction",Nakskov,2005-01-09,77
"Space Demons","Young adult literature","Nørresundby",2005-04-22,27
Vathek,"Gothic fiction",Skive,2005-03-06,17
"Tim the Tiny Horse At Large",Fantasy,Maribo,2005-12-06,31
Shopgirl,Comedy,Maribo,2005-05-16,53
"Portrait of Lozana: The Lusty Andalusian Woman",Novel,"Helsingør",2005-04-03,53
Trumpet,Fiction,Ribe,2005-02-18,100
"The Bat Man","Crime Fiction","Holbæk",2005-02-28,17
"Lady Susan","Epistolary novel",Copenhagen,2005-08-02,45
"The Adventures of Danny Meadow Mouse","Children's literature",Aarhus,2005-06-15,51
"Small Favor",Fantasy,Kalundborg,2005-02-03,17
"Anne of Green Gables","Children's literature",Ribe,2005-05-04,64
"The Wide, Wide World",Novel,"Sorø",2005-05-07,31
"Danse Macabre",Horror,Aalborg,2005-02-06,92
"The Double Comfort Safari Club",Fiction,Ribe,2005-04-14,95
"The World Below","Science Fiction",Fredericia,2005-12-04,97
"The Altar of the Dead","Short story","Tønder",2005-07-23,12
"The Mocking Program","Crime Fiction",Ribe,2005-10-09,7
"The Night Gardener","Crime Fiction",Silkeborg,2005-03-19,45
"Winter Rose","Speculative fiction",Silkeborg,2005-08-04,41
"The Last Space Viking","Science Fiction","Helsingør",2005-03-23,58
"Five Run Away Together",Mystery,Skagen,2005-08-07,21
"Salammbô","Speculative fiction",Vordingborg,2005-08-19,81
"Infernal Devices: A Mad Victorian Fantasy","Science Fiction","Sorø",2005-11-14,25
"Shadow of a Dark Queen",Fantasy,Aalborg,2005-08-12,38
"A Wrinkle in Time",Fantasy,Aalborg,2005-01-20,50
"First Light",Mystery,"Helsingør",2005-03-23,14
"The Power and the Glory","Speculative fiction",Thisted,2005-09-24,70
Glory,Fiction,Odense,2005-10-05,82
"Devil Bones","Crime Fiction",Odense,2005-03-02,10
"Prince of the Blood",Fantasy,Viborg,2005-11-02,8
"Kyle XY: Nowhere to Hide","Science Fiction",Esbjerg,2005-07-24,90
"The Masque of the Red Death","Gothic fiction",Skive,2005-02-08,21
"Return of the Brute",Novel,Maribo,2005-08-22,33
"The Real Life of Sebastian Knight",Fiction,"Helsingør",2005-11-14,73
"Pied Piper of Lovers",Novel,Nakskov,2005-11-26,5
"Notable American Women",Fiction,Haderslev,2005-08-05,22
"Into a Dark Realm","Speculative fiction",Fredericia,2005-11-30,45
"The Fire Kimono",Mystery,Horsens,2005-08-22,23
"Debt of Bones","Speculative fiction",Svendborg,2005-08-05,79
"The Empty Chair","Crime Fiction","Sønderborg",2005-03-13,70
"Red Army","Alternate history",Randers,2005-05-09,63
"The Book and the Sword",Wuxia,Odense,2005-01-13,20
Pyramids,"Science Fiction",Aabenraa,2005-10-11,84
"Lives of the Saints",Novel,Aarhus,2005-03-28,68
Idoru,Cyberpunk,"Sorø",2005-12-09,34
"The Bisexual Option",Psychology,Holstebro,2005-11-25,74
"The House of Mirth",Fiction,Nakskov,2005-12-25,85
"The Last Theorem","Science Fiction",Aabenraa,2005-06-28,83
"Holmes on the Range",Fiction,Viborg,2005-03-07,54
"Dead Mountaineer's Hotel","Science Fiction",Randers,2005-07-13,28
"Shroud for a Nightingale","Crime Fiction","Holbæk",2005-09-17,39
"Mink Trapping",Non-fiction,Herning,2005-01-04,63
"The Coroner's Lunch","Crime Fiction",Kolding,2005-06-08,28
"Jumping the Scratch","Young adult literature",Horsens,2005-12-26,9
"The Writing on the Hearth","Children's literature",Svendborg,2005-07-07,91
"Man of Nazareth","Speculative fiction","Nørresundby",2005-05-17,23
"Waterless Mountain","Children's literature",Viborg,2005-07-31,50
Onitsha,"Coming of age",Nyborg,2005-05-25,53
"The Other Side of Truth","Children's literature",Esbjerg,2005-08-01,43
"The Scar","Science Fiction",Haderslev,2005-10-01,45
"The Green Futures of Tycho","Science Fiction",Herning,2005-12-25,9
"Out of Order",Mystery,Ribe,2005-03-29,14
"The Hope","Historical fiction",Viborg,2005-03-22,81
"The Wench is Dead","Crime Fiction","Nørresundby",2005-04-19,74
"The Dangerous Rescue","Science Fiction",Frederiksberg,2005-10-18,37
Nova,"Science Fiction",Maribo,2005-07-04,30
"One Door Away from Heaven","Speculative fiction",Frederikshavn,2005-07-07,30
"The Trail of Bohu","Speculative fiction",Roskilde,2005-10-19,56
"The Infinities","Alternate history","Sønderborg",2005-05-20,98
Exodus,"Science Fiction",Esbjerg,2005-04-11,54
"A Bright Shining Lie: John Paul Vann and America in Vietnam",History,Roskilde,2005-10-02,39
Nibelungenlied,Autobiography,Skagen,2005-01-28,21
"The Redbreast","Crime Fiction","Hillerød",2005-04-10,13
"The Book of the Dun Cow","Speculative fiction",Holstebro,2005-12-08,40
"Deep Wizardry","Speculative fiction",Roskilde,2005-03-13,9
"Arthur Mervyn","Gothic fiction",Frederikshavn,2005-12-26,41
"Directive 51","Science Fiction",Ribe,2005-07-19,10
"The Financier",Reference,Skagen,2005-12-12,73
"Invaders from the Infinite","Science Fiction",Slagelse,2005-02-03,59
"Tom Swift in the Caves of Ice","Young adult literature",Thisted,2005-12-09,82
"The Siege of Krishnapur",Novel,Vordingborg,2005-04-03,20
"Mushroom in the Sand",Thriller,Holstebro,2005-12-09,5
"City at the End of Time","Science Fiction",Gentofte,2005-03-09,32
"War Game","War novel",Herning,2005-01-01,58
"Lord John and the Hellfire Club",Novella,"Nørresundby",2005-02-13,18
"Flowers for the Judge","Crime Fiction",Aarhus,2005-06-16,52
"Arrows of the Queen","Speculative fiction",Maribo,2005-02-10,53
"Open House",Fiction,Aabenraa,2005-11-25,19
Strata,"Science Fiction",Frederikshavn,2005-01-02,23
"Between the Rivers","Speculative fiction",Frederikshavn,2005-09-04,41
Spadework,Fiction,Esbjerg,2005-07-04,44
Adolphe,Novel,Herning,2005-09-01,23
"Only the Heart","Young adult literature",Vordingborg,2005-03-11,10
Brain,Thriller,Vejle,2005-04-25,22
"Here Be Monsters!",Fantasy,Aarhus,2005-03-29,5
"The Unexpected Guest","Crime Fiction",Gentofte,2005-01-25,99
"Unnatural Exposure","Crime Fiction",Viborg,2005-05-24,28
"The Red House Mystery",Mystery,Nyborg,2005-11-13,61
"House of Incest",Novel,"Sønderborg",2005-02-22,99
"Lizzie Zipmouth","Children's literature","Tønder",2005-04-09,100
Stargirl,"Children's literature",Randers,2005-06-04,23
"The Girl in a Swing",Thriller,Slagelse,2005-12-30,67
"The Story of A Fierce Bad Rabbit","Children's literature",Skive,2005-03-05,77
"Camber the Heretic","Science Fiction",Gentofte,2005-04-09,72
"The Perilous Road",Fiction,"Hillerød",2005-02-01,62
"Settling Accounts: Drive to the East","Alternate history",Silkeborg,2005-02-12,69
"Kolymsky Heights",Thriller,"Hjørring",2005-03-03,33
Enigma,Thriller,Gentofte,2005-03-13,24
"You Only Live Twice","Spy fiction",Skagen,2005-04-11,23
"A Case of Need",Thriller,"Nørresundby",2005-03-06,16
"Hell's Half Acre",Novel,Gentofte,2005-03-11,38
"Freddy and the Baseball Team from Mars","Comic novel",Herning,2005-08-15,13
Rosetta,"Science Fiction",Fredericia,2005-02-05,76
Birthright,"Science Fiction","Sønderborg",2005-10-17,23
"Seeing a Large Cat",Mystery,Horsens,2005-03-26,53
"I Will Fear No Evil","Science Fiction",Frederiksberg,2005-02-14,98
"Golem in the Gears","Science Fiction",Kalundborg,2005-03-29,42
"Lord of the Nutcracker Men","Children's literature",Aalborg,2005-04-24,12
"The Time Ships","Science Fiction",Roskilde,2005-03-05,86
Congo,"Science Fiction",Esbjerg,2005-02-21,54
"Effi Briest",Fiction,"Tønder",2005-03-19,78
"Ship of Magic","Speculative fiction",Aarhus,2005-03-28,11
Crusade,"Children's literature",Nakskov,2005-06-19,27
